wavelength,illuminantC,xBar,yBar,zBar
556,105.596,0.5282959,0.9998567,0.0053036
557,105.522,0.5446916,0.9993046,0.0048998
558,105.448,0.5612094,0.9983255,0.0045342
559,105.374,0.5778215,0.9968987,0.0042024
560,105.3,0.5945,0.995,0.0039
561,105.062,0.6112209,0.9926005,0.0036232
562,104.824,0.6279758,0.9897426,0.0033706
563,104.586,0.6447602,0.9864444,0.0031414
564,104.348,0.6615697,0.9827241,0.0029348
565,104.11,0.6784,0.9786,0.002749999
566,103.748,0.6952392,0.9740837,0.0025852
567,103.386,0.7120586,0.9691712,0.0024386
568,103.024,0.7288284,0.9638568,0.0023094
569,102.662,0.7455188,0.9581349,0.0021968
570,102.3,0.7621,0.952,0.0021
571,101.87,0.7785432,0.9454504,0.002017733
572,101.44,0.7948256,0.9384992,0.0019482
573,101.01,0.8109264,0.9311628,0.0018898
574,100.58,0.8268248,0.9234576,0.001840933
575,100.15,0.8425,0.9154,0.0018
576,99.68,0.8579325,0.9070064,0.001766267
577,99.21,0.8730816,0.8982772,0.0017378
578,98.74,0.8878944,0.8892048,0.0017112
579,98.27,0.9023181,0.8797816,0.001683067
580,97.8,0.9163,0.87,0.001650001
581,97.326,0.9297995,0.8598613,0.001610133
582,96.852,0.9427984,0.849392,0.0015644
583,96.378,0.9552776,0.838622,0.0015136
584,95.904,0.9672179,0.8275813,0.001458533
585,95.43,0.9786,0.8163,0.0014
586,94.984,0.9893856,0.8047947,0.001336667
587,94.538,0.9995488,0.793082,0.00127
588,94.092,1.0090892,0.781192,0.001205
589,93.646,1.0180064,0.7691547,0.001146667
590,93.2,1.0263,0.757,0.0011
591,92.804,1.0339827,0.7447541,0.0010688
592,92.408,1.040986,0.7324224,0.0010494
593,92.012,1.047188,0.7200036,0.0010356
594,91.616,1.0524667,0.7074965,0.0010212
595,91.22,1.0567,0.6949,0.001
596,90.916,1.0597944,0.6822192,0.00096864
597,90.612,1.0617992,0.6694716,0.00092992
598,90.308,1.0628068,0.6566744,0.00088688
599,90.004,1.0629096,0.6438448,0.00084256
600,89.7,1.0622,0.631,0.0008
601,89.526,1.0607352,0.6181555,0.00076096
602,89.352,1.0584436,0.6053144,0.00072368
603,89.178,1.0552244,0.5924756,0.00068592
604,89.004,1.0509768,0.5796379,0.00064544
605,88.83,1.0456,0.5668,0.0006
606,88.744,1.0390369,0.5539611,0.0005478667
607,88.658,1.0313608,0.5411372,0.0004916
608,88.572,1.0226662,0.5283528,0.0004354
609,88.486,1.0130477,0.5156323,0.0003834667
610,88.4,1.0026,0.503,0.00034
611,88.358,0.9913675,0.4904688,0.0003072533
612,88.316,0.9793314,0.4780304,0.00028316
613,88.274,0.9664916,0.4656776,0.00026544
614,88.232,0.9528479,0.4534032,0.0002518133
615,88.19,0.9384,0.4412,0.00024
616,88.172,0.923194,0.42908,0.0002295467
617,88.154,0.907244,0.417036,0.00022064
618,88.136,0.890502,0.405032,0.00021196
619,88.118,0.87292,0.393032,0.0002021867
620,88.1,0.8544499,0.381,0.00019
621,88.092,0.835084,0.3689184,0.0001742133
622,88.084,0.814946,0.3568272,0.00015564
623,88.076,0.794186,0.3447768,0.00013596
624,88.068,0.772954,0.3328176,0.0001168533
625,88.06,0.7514,0.321,0.0001
626,88.048,0.7295836,0.3093381,8.613333e-05
627,88.036,0.7075888,0.2978504,7.46e-05
628,88.024,0.6856022,0.2865936,6.5e-05
629,88.012,0.6638104,0.2756245,5.693333e-05
630,88,0.6424,0.265,4.999999e-05
631,87.972,0.6215149,0.2547632,4.416e-05
632,87.944,0.6011138,0.2448896,3.948e-05
633,87.916,0.5811052,0.2353344,3.572e-05
634,87.888,0.5613977,0.2260528,3.264e-05
635,87.86,0.5419,0.217,3e-05
636,87.848,0.5225995,0.2081616,2.765333e-05
637,87.836,0.5035464,0.1995488,2.556e-05
638,87.824,0.4847436,0.1911552,2.364e-05
639,87.812,0.4661939,0.1829744,2.181333e-05
640,87.8,0.4479,0.175,2e-05
641,87.838,0.4298613,0.1672235,1.813333e-05
